,agency_ambiguous,agency_anthropogenic,agency_non-anthropogenic,agency_nonanthropogenic,agency_unknown,alteration_fauna,alteration_flora,alteration_human_bodies,alteration_weather,antisocial_into_prosocial,authoritarianism_androcentrism,authoritarianism_cultural,authoritarianism_gynocentric,authoritarianism_market,authoritarianism_religion,authoritarianism_reproduction,authoritarianism_social,authoritarianism_technological,censorship,conflict_economic,conflict_information,conflict_interpolity,conflict_intrapolity,depletion_biosphere,event_subversion,event_war,familism,government_corporate,government_degradation,government_military,government_nonhuman,government_oligarchical,kernel_ intrasocietal,kernel_extrasocietal,kernel_inconclusive,kernel_intra-societal,kernel_intrasocietal,kernel_natural,kernel_non-specified,ontological_alteration,pollution_biosphere,pollution_land,population_decline,prosocial_into_antisocial,scale_continental,scale_local,scale_multi-planetary,scale_multiplanetary,scale_multiversal,scale_planetary,scale_universal,scale_unknown,segregationism_sexual,segregationism_social,type_environmental,type_metaphysical,type_subversion,type_war,use_of_force_civilians,wmd_use_nuclear
agency_ambiguous,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,2,2,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0
agency_anthropogenic,0,78,0,0,0,3,2,21,3,1,1,0,1,6,4,2,21,12,10,5,44,28,37,3,2,1,5,10,67,6,12,7,6,1,4,4,63,0,0,38,5,3,56,76,1,27,3,2,10,33,2,0,4,49,4,15,40,16,36,1
agency_non-anthropogenic,0,0,7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,0,0,3,1,6,1,1,0,1,2,1,0,0,3,0,3,0,0,7,7,0,1,0,0,0,6,0,0,0,7,3,0,2,2,2,0
agency_nonanthropogenic,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,3,3,0,1,0,0,0,2,0,0,0,3,2,0,0,1,3,0
agency_unknown,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,3,0,1,0,0,0,1,0,1,0,2,3,1,0,4,4,0,1,0,0,0,2,0,1,0,3,1,0,2,1,0,0
alteration_fauna,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,1,0,0,3,1,0,0,0,0,0,3,3,3,4,4,0,0,0,0,0,4,0,0,0,1,0,0,0,4,1,0
alteration_flora,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0
alteration_human_bodies,0,21,2,1,1,0,0,25,0,0,0,0,0,1,0,0,0,1,0,2,13,13,10,0,0,0,1,3,24,6,1,1,1,0,3,0,20,1,0,16,1,0,23,25,0,4,2,1,4,14,0,0,0,16,2,6,11,6,9,1
alteration_weather,0,3,3,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,4,0,8,0,0,0,0,0,0,0,3,3,2,2,2,0,8,8,0,2,0,0,0,5,0,1,0,5,5,0,1,2,0,0
antisocial_into_prosocial,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
authoritarianism_androcentrism,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
authoritarianism_cultural,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
authoritarianism_gynocentric,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
authoritarianism_market,0,6,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,3,4,3,3,0,0,0,0,5,6,1,0,0,1,0,1,0,4,0,0,0,1,0,3,6,0,2,0,0,0,4,0,0,0,3,0,0,5,1,4,0
authoritarianism_religion,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,4,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0
authoritarianism_reproduction,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,2,0,2,0
authoritarianism_social,0,21,0,0,0,0,0,0,0,0,1,0,1,0,0,2,21,5,10,0,16,1,7,0,2,0,0,0,21,1,0,6,1,1,0,4,15,0,0,1,0,0,5,21,1,13,0,0,0,6,1,0,4,12,0,0,18,1,21,0
authoritarianism_technological,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,13,0,1,11,1,3,0,0,1,0,5,13,0,0,5,0,1,1,4,7,0,0,5,0,0,7,13,0,7,0,1,2,3,0,0,0,11,1,2,7,2,7,0
censorship,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,2,10,0,10,0,7,0,4,0,0,0,0,0,10,0,0,0,1,1,0,0,8,0,0,0,0,0,1,10,0,3,0,0,0,6,1,0,3,3,0,0,10,0,10,0
conflict_economic,0,5,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,1,0,6,2,1,2,1,0,0,0,5,6,0,0,0,0,0,1,0,4,0,1,0,1,0,2,6,0,2,0,1,0,3,0,0,0,5,0,0,4,2,2,0
conflict_information,1,44,1,2,1,0,1,13,1,1,0,1,0,4,0,0,16,11,7,2,49,10,13,1,2,1,3,7,48,3,2,6,4,0,3,4,36,2,0,23,1,0,34,48,0,23,1,0,6,17,2,0,2,32,4,8,31,3,24,0
conflict_interpolity,1,28,1,3,1,4,0,13,0,0,0,0,0,3,4,0,1,1,0,1,10,34,24,0,0,0,0,4,22,8,13,1,4,2,3,0,23,2,0,21,3,3,33,34,0,3,2,1,8,20,0,0,0,18,2,11,6,15,12,0
conflict_intrapolity,1,37,3,2,1,4,0,10,0,0,1,0,0,3,4,0,7,3,4,2,13,24,44,0,0,1,0,4,31,8,15,1,3,3,3,0,34,1,0,26,4,3,37,44,1,9,2,1,4,26,1,0,0,30,2,9,18,14,22,1
depletion_biosphere,0,3,3,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,4,0,8,0,0,0,0,0,0,0,3,3,2,2,2,0,8,8,0,2,0,0,0,5,0,1,0,5,5,0,1,2,0,0
event_subversion,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0
event_war,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
familism,0,5,3,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,0,8,0,0,0,1,0,1,0,3,3,0,3,0,0,8,8,0,3,0,0,0,5,0,0,0,8,5,0,3,0,0,0
government_corporate,0,10,1,0,0,0,0,3,0,0,0,0,0,5,0,0,0,5,0,5,7,4,4,0,0,1,0,11,11,0,0,0,1,1,2,0,7,0,0,2,1,0,7,11,0,4,0,1,0,6,0,0,0,6,0,0,6,4,6,0
government_degradation,1,67,6,3,3,4,2,24,8,1,1,1,1,6,0,2,21,13,10,6,48,22,31,8,2,1,8,11,80,10,3,7,7,3,6,4,53,5,2,33,6,3,59,79,1,29,2,2,6,37,2,1,5,50,11,10,40,16,41,1
government_military,0,6,1,3,0,1,0,6,0,0,1,0,0,1,0,0,1,0,0,0,3,8,8,0,0,0,0,0,10,10,0,0,0,1,2,0,5,2,0,0,0,0,9,10,1,1,0,0,0,8,0,0,0,6,2,0,2,6,10,0
government_nonhuman,1,12,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,13,15,0,0,0,0,0,3,0,15,0,0,1,1,0,13,0,0,15,0,0,15,15,0,2,2,0,4,7,0,0,0,15,0,7,4,4,0,0
government_oligarchical,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,5,0,0,6,1,1,0,1,0,0,0,7,0,0,7,0,0,0,4,3,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,0,7,0,0,6,0,6,0
kernel_ intrasocietal,0,6,1,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,4,3,0,0,0,1,1,7,0,0,0,7,0,0,0,0,0,0,5,3,3,7,7,0,3,0,0,0,4,0,0,0,3,0,0,3,4,2,0
kernel_extrasocietal,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,3,0,0,0,0,1,3,1,1,0,0,4,0,0,0,0,0,2,0,0,3,4,0,0,0,0,0,4,0,0,1,3,0,0,1,3,3,0
kernel_inconclusive,1,4,1,0,1,0,0,3,0,0,0,1,0,1,0,0,0,1,0,1,3,3,3,0,0,0,1,2,6,2,1,0,0,0,7,0,0,0,0,3,0,0,5,7,0,1,0,0,0,6,0,0,1,5,2,0,3,2,3,0
kernel_intra-societal,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,0
kernel_intrasocietal,1,63,0,0,1,0,2,20,3,1,1,0,0,4,4,2,15,7,8,4,36,23,34,3,2,1,3,7,53,5,13,3,0,0,0,0,65,0,0,35,2,0,50,63,1,21,3,2,10,26,2,0,3,42,3,16,33,10,27,1
kernel_natural,0,0,3,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,3,0,5,2,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,1,0,0,0,4,0,0,0,5,5,0,0,0,2,0
kernel_non-specified,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
ontological_alteration,2,38,3,0,3,3,2,16,2,1,0,1,0,0,4,0,1,5,0,0,23,21,26,2,0,0,3,2,33,0,15,0,5,2,3,0,35,0,1,46,4,3,45,45,0,10,3,1,10,20,1,1,1,34,5,16,16,9,6,1
pollution_biosphere,0,5,0,0,1,3,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,3,4,2,0,0,0,1,6,0,0,0,3,0,0,0,2,0,1,4,6,3,5,6,0,0,0,0,0,5,0,1,0,1,1,0,1,4,0,0
pollution_land,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
population_decline,2,56,7,3,4,4,2,23,8,1,1,1,0,3,4,0,5,7,1,2,34,33,37,8,1,1,8,7,59,9,15,1,7,3,5,0,50,5,2,45,5,3,72,71,1,18,3,2,10,36,1,1,2,49,11,16,24,19,23,1
prosocial_into_antisocial,2,76,7,3,4,4,1,25,8,0,1,1,1,6,4,2,21,13,10,6,48,34,44,8,2,1,8,11,79,10,15,7,7,4,7,4,63,5,2,45,6,3,71,92,1,29,3,2,10,44,2,1,5,62,11,15,43,20,41,1
scale_continental,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
scale_local,0,27,1,1,1,0,1,4,2,0,0,0,0,2,0,1,13,7,3,2,23,3,9,2,2,1,3,4,29,1,2,7,3,0,1,4,21,1,0,10,0,0,18,29,0,30,0,0,0,0,0,0,2,23,2,0,25,0,17,0
scale_multi-planetary,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,0,3,0,1,2,0,0,0
scale_multiplanetary,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0
scale_multiversal,0,10,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,2,0,0,6,8,4,0,0,0,0,0,6,0,4,0,0,0,0,0,10,0,0,10,0,0,10,10,0,0,0,0,10,0,0,0,0,6,0,10,0,0,0,0
scale_planetary,2,33,6,2,2,4,1,14,5,1,0,1,1,4,0,1,6,3,6,3,17,20,26,5,0,0,5,6,37,8,7,0,4,4,6,0,26,4,1,20,5,3,36,44,0,0,0,0,0,45,0,0,3,27,7,4,16,18,20,1
scale_universal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,2,0,1,1,0,2,0
scale_unknown,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
segregationism_sexual,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,3,0,2,0,0,0,1,0,0,0,5,0,0,0,0,1,1,0,3,0,0,1,0,0,2,5,0,2,0,0,0,3,0,0,5,0,1,0,3,0,4,0
segregationism_social,1,49,7,3,3,1,1,16,5,1,1,0,0,3,4,0,12,11,3,5,32,18,30,5,1,0,8,6,50,6,15,7,3,3,5,4,42,5,1,34,1,0,49,62,1,23,3,1,6,27,2,0,0,63,8,12,32,10,23,1
type_environmental,1,4,3,2,1,0,1,2,5,0,0,1,0,0,0,0,0,1,0,0,4,2,2,5,0,0,5,0,11,2,0,0,0,0,2,0,3,5,1,5,1,0,11,11,0,2,0,1,0,7,0,1,1,8,11,0,0,0,2,0
type_metaphysical,1,15,0,0,0,0,1,6,0,1,0,0,0,0,4,0,0,2,0,0,8,11,9,0,0,0,0,0,10,0,7,0,0,0,0,0,16,0,0,16,0,0,16,15,0,0,1,0,10,4,1,0,0,12,0,16,0,0,2,1
type_subversion,0,40,2,0,2,0,0,11,1,0,0,0,1,5,0,2,18,7,10,4,31,6,18,1,0,0,3,6,40,2,4,6,3,1,3,4,33,0,0,16,1,0,24,43,0,25,2,0,0,16,1,0,3,32,0,0,44,0,24,0
type_war,0,16,2,1,1,4,0,6,2,0,1,0,0,1,0,0,1,2,0,2,3,15,14,2,0,0,0,4,16,6,4,0,4,3,2,0,10,0,1,9,4,3,19,20,1,0,0,1,0,18,0,0,0,10,0,0,0,20,10,0
use_of_force_civilians,0,36,2,3,0,1,0,9,0,0,1,0,1,4,0,2,21,7,10,2,24,12,22,0,2,1,0,6,41,10,0,6,2,3,3,4,27,2,0,6,0,0,23,41,1,17,0,1,0,20,2,0,4,23,2,2,24,10,41,1
wmd_use_nuclear,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
